member_type,rideable_type,trip_year,trip_month,trip_day_of_week,trip_hour,avg_ride_length_seconds,total_trips
casual,electric_bike,2024,6,2,22,861,436
casual,electric_bike,2024,9,5,13,904,843
member,electric_bike,2024,4,3,18,667,2317
casual,electric_bike,2024,5,4,12,988,870
casual,electric_bike,2024,8,7,3,878,291
casual,electric_bike,2024,10,3,22,648,427
casual,classic_bike,2024,12,2,9,1124,94
casual,electric_bike,2024,4,6,2,524,47
member,classic_bike,2024,7,7,21,977,876
member,classic_bike,2024,8,5,8,688,2510
casual,classic_bike,2024,3,2,21,1701,121
casual,classic_bike,2024,6,5,12,1992,829
member,electric_bike,2024,7,5,14,754,1423
member,classic_bike,2024,7,5,16,869,2590
member,electric_bike,2024,8,2,14,715,1336
member,electric_bike,2024,3,4,14,626,809
member,electric_bike,2024,4,1,13,769,1300
member,classic_bike,2024,6,7,7,856,710
member,classic_bike,2024,12,5,22,722,121
casual,classic_bike,2024,12,4,14,966,117
casual,classic_bike,2024,1,5,6,541,32
member,electric_bike,2024,2,6,4,657,29
member,electric_bike,2024,3,3,4,396,52
casual,classic_bike,2024,7,4,9,1623,567
casual,classic_bike,2024,7,3,22,1326,452
casual,classic_bike,2024,8,1,9,1910,994
member,electric_bike,2024,8,4,19,756,2208
member,electric_bike,2024,9,1,19,727,1524
member,electric_bike,2024,9,2,6,603,1122
casual,electric_bike,2024,11,3,14,672,378
casual,electric_bike,2024,1,1,6,337,6
casual,electric_bike,2024,3,6,10,708,197
casual,electric_bike,2024,6,3,9,833,405
casual,electric_bike,2024,10,2,12,890,622
member,electric_bike,2024,12,7,2,495,69
member,electric_bike,2024,1,7,7,468,124
casual,electric_bike,2024,6,1,12,1294,2253
casual,electric_bike,2024,9,4,3,693,39
casual,electric_bike,2024,12,1,1,694,128
member,classic_bike,2024,5,3,4,721,47
member,classic_bike,2024,8,4,21,957,1024
member,electric_bike,2024,1,1,14,579,314
member,electric_bike,2024,4,4,5,545,228
casual,classic_bike,2024,12,1,22,3108,59
casual,classic_bike,2024,5,7,3,2461,57
casual,classic_bike,2024,6,4,2,928,24
member,electric_bike,2024,10,7,18,718,1726
member,electric_bike,2024,11,4,18,581,1203
casual,classic_bike,2024,11,6,5,584,40
casual,classic_bike,2024,2,6,8,850,160
casual,classic_bike,2024,3,3,8,824,182
member,electric_bike,2024,7,3,17,743,3821
member,classic_bike,2024,10,1,5,935,68
casual,classic_bike,2024,10,5,3,1903,19
casual,classic_bike,2024,4,1,18,1992,820
casual,classic_bike,2024,4,7,11,2131,1046
member,electric_bike,2024,5,2,15,703,1325
member,electric_scooter,2024,9,7,14,568,496
casual,classic_bike,2024,10,6,13,1770,1140
member,electric_bike,2024,11,7,10,597,1261
casual,classic_bike,2024,11,3,13,1341,247
member,electric_bike,2024,12,4,10,592,374
casual,electric_bike,2024,2,2,7,484,108
member,classic_bike,2024,3,5,2,572,10
member,electric_bike,2024,6,6,18,763,2314
casual,electric_bike,2024,8,1,10,1218,1317
casual,classic_bike,2024,9,2,10,2240,935
member,classic_bike,2024,9,5,23,776,401
casual,electric_bike,2024,4,3,10,738,349
casual,electric_bike,2024,5,6,9,883,584
casual,electric_bike,2024,3,5,0,554,54
member,classic_bike,2024,9,6,10,802,1012
casual,electric_bike,2024,12,6,7,390,111
member,classic_bike,2024,1,3,13,955,460
casual,electric_bike,2024,6,5,14,969,1042
member,electric_bike,2024,6,5,8,660,2254
casual,electric_bike,2024,7,3,0,811,225
member,classic_bike,2024,9,1,21,829,546
member,electric_bike,2024,12,3,23,531,168
member,classic_bike,2024,12,4,12,571,394
casual,electric_bike,2024,2,7,13,992,153
member,electric_bike,2024,3,7,6,577,153
casual,classic_bike,2024,4,6,1,3627,24
casual,electric_bike,2024,8,4,11,984,633
member,electric_bike,2024,8,1,4,722,153
member,electric_bike,2024,9,5,21,691,1197
casual,electric_scooter,2024,9,3,9,531,410
casual,electric_bike,2024,9,3,16,829,1240
casual,classic_bike,2024,9,5,11,2006,598
member,electric_bike,2024,5,5,16,755,2921
casual,classic_bike,2024,7,7,1,1937,450
casual,classic_bike,2024,8,4,1,1510,50
member,classic_bike,2024,10,2,15,748,1525
member,classic_bike,2024,1,5,4,661,29
member,electric_bike,2024,2,7,14,609,381
casual,classic_bike,2024,5,2,20,1795,471
casual,classic_bike,2024,1,4,19,1856,120
casual,classic_bike,2024,2,1,19,1189,128
casual,classic_bike,2024,2,2,6,1453,45
casual,electric_bike,2024,7,7,19,1099,1575
member,classic_bike,2024,11,2,7,664,1259
casual,electric_bike,2024,4,1,19,1028,558
member,classic_bike,2024,6,3,19,928,2033
member,classic_bike,2024,7,4,6,705,1044
member,classic_bike,2024,7,2,1,678,59
member,classic_bike,2024,8,1,6,895,217
casual,electric_bike,2024,5,5,22,882,515
member,electric_bike,2024,3,6,19,589,719
casual,electric_scooter,2024,9,5,23,701,360
casual,electric_bike,2024,7,2,13,1090,1059
member,classic_bike,2024,11,7,13,748,1302
member,electric_bike,2024,11,2,4,556,52
member,electric_bike,2024,11,6,23,592,525
casual,electric_bike,2024,12,4,16,589,253
casual,electric_bike,2024,3,4,13,852,284
member,electric_bike,2024,7,4,4,546,98
casual,electric_bike,2024,8,6,16,983,2625
casual,classic_bike,2024,11,1,16,1542,623
casual,classic_bike,2024,3,6,23,1071,123
member,classic_bike,2024,5,5,18,900,2745
member,classic_bike,2024,10,7,21,1184,525
member,classic_bike,2024,11,4,21,622,315
member,classic_bike,2024,12,1,20,844,232
member,classic_bike,2024,2,7,15,963,722
member,electric_bike,2024,2,2,2,668,19
member,classic_bike,2024,3,4,15,698,970
member,classic_bike,2024,4,1,15,1074,1268
member,electric_bike,2024,7,1,12,839,1700
member,electric_bike,2024,5,3,2,779,41
member,classic_bike,2024,6,5,10,816,985
member,classic_bike,2024,7,2,15,817,1809
member,classic_bike,2024,3,7,7,717,334
member,classic_bike,2024,4,4,7,692,1207
member,classic_bike,2024,8,6,18,871,2766
